"AGE10P - Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"Kogarah Bay - Carlton - Allawah",1922,1699,2581,2575,2150,2011,1549,907,474,104,0,15965,
"Monterey - Brighton-le-Sands - Kyeemagh",1539,1355,1678,2191,2110,1729,1502,1134,627,118,0,13972,
"Rockdale - Banksia",2079,1585,4469,4138,2274,1950,1533,993,718,225,0,19960,
"Sans Souci - Ramsgate",1814,1631,1532,2014,2431,2154,1906,1456,826,206,0,15976,
"Concord - Mortlake - Cabarita",2507,2375,2500,2900,3185,3024,2492,1682,858,215,4,21742,
"Concord West - North Strathfield",2807,1964,6730,5538,2712,2236,1568,790,401,102,0,24850,
"Drummoyne - Rodd Point",2267,1687,1981,2937,2843,2373,1935,1232,844,226,0,18326,
"Five Dock - Abbotsford",2525,1850,2037,3379,3273,2660,2155,1458,903,194,3,20440,
"Balmain",1988,1275,1638,2583,2724,2264,1881,976,308,57,0,15686,
"Leichhardt - Annandale",3762,2070,3683,5022,4587,3023,2326,1164,605,146,3,26388,
"Lilyfield - Rozelle",1954,1070,1508,2790,2583,1790,1320,634,269,67,0,13991,
"Ashfield",2211,1887,5507,4683,2944,2711,1999,1297,948,312,9,24497,
"Burwood - Croydon",2054,2394,6571,3643,2736,2893,1987,1244,897,226,3,24653,
"Canterbury (North) - Ashbury",1186,1098,1503,1580,1572,1428,1037,657,331,42,0,10449,
"Croydon Park - Enfield",1986,1997,2346,2402,2505,2228,1710,1178,731,142,0,17222,
"Dulwich Hill - Lewisham",1822,1460,2775,3122,2715,2130,1347,888,452,100,0,16809,
"Haberfield - Summer Hill",1551,1356,1849,2070,2109,1814,1255,715,582,165,3,13474,
"Homebush",1888,1380,4296,3937,1730,1435,876,420,201,40,0,16211,
"Strathfield",2060,2632,6405,4087,2603,2799,1945,1304,901,269,3,25016,
"Strathfield South",439,442,542,515,497,484,325,196,98,14,0,3542,
"Chatswood (East) - Artarmon",3651,2816,4876,5748,4056,2846,2274,1317,842,258,0,28683,
"Chatswood (West) - Lane Cove North",2630,1907,3303,4304,2959,2229,1738,1004,596,180,3,20857,
"Lane Cove - Greenwich",3461,3370,3117,3992,3942,3417,2577,1670,907,276,5,26733,
"St Leonards - Naremburn",1282,598,1746,2857,1553,1038,835,376,174,33,0,10500,
"Willoughby - Castle Cove - Northbridge",3810,3605,2015,2816,4304,3510,2598,1567,964,264,10,25463,
"Asquith - Mount Colah",2600,2520,1910,2141,2924,2708,1923,1068,405,89,0,18291,
"Berowra - Brooklyn - Cowan",1678,1711,1008,1296,1975,1741,1288,719,237,36,0,11699,
"Normanhurst - Thornleigh - Westleigh",2533,2783,1635,2113,2999,2459,1882,1376,612,145,0,18531,
"Hornsby - East",1636,938,1880,2737,1789,1197,854,439,260,58,0,11798,
"Hornsby - West",1432,1253,1100,1610,1689,1371,1117,668,338,109,0,10684,
"Waitara - Wahroonga (West)",1414,921,1020,2024,1400,863,802,549,464,142,0,9602,
