"CACF Count of All Children in Family","One child in family","Two children in family","Three children in family","Four children in family","Five children in family","Six or more children in family","Total",
"Mosman",1750,1781,666,121,13,0,4327,
"Neutral Bay - Kirribilli",1025,621,127,19,3,0,1794,
"North Sydney - Lavender Bay",618,324,60,17,0,0,1019,
"Balgowlah - Clontarf - Seaforth",1229,1778,655,93,7,0,3769,
"Manly - Fairlight",1218,1094,303,39,0,0,2658,
"Avalon - Palm Beach",715,866,347,79,9,3,2018,
"Bayview - Elanora Heights",611,796,285,50,7,0,1747,
"Newport - Bilgola",844,1049,376,67,5,0,2338,
"Warriewood - Mona Vale",1534,1915,645,131,11,0,4240,
"Beacon Hill - Narraweena",912,1144,405,75,11,0,2554,
"Cromer",463,640,215,32,0,5,1358,
"Dee Why - North Curl Curl",1933,1497,407,79,9,0,3919,
"Forestville - Killarney Heights",748,1162,440,64,11,3,2429,
"Frenchs Forest - Belrose",1501,2258,819,147,9,3,4741,
"Freshwater - Brookvale",1331,1400,452,74,14,3,3278,
"Manly Vale - Allambie Heights",1080,1415,495,80,10,7,3087,
"Narrabeen - Collaroy",1563,1661,545,102,18,9,3901,
"Terrey Hills - Duffys Forest",207,282,115,35,0,0,641,
"Camden - Ellis Lane",791,905,386,74,21,9,2183,
"Elderslie - Harrington Park",1321,1757,754,200,31,20,4078,
"Mount Annan - Currans Hill",2053,2461,936,239,76,18,5784,
"Bradbury - Wedderburn",1470,1264,565,201,69,44,3620,
"Campbelltown - Woodbine",1353,997,408,160,51,25,2998,
"Claymore - Eagle Vale - Raby",1575,1451,610,216,64,40,3959,
"Holsworthy Military Area",0,0,0,0,0,0,0,
"Ingleburn - Denham Court",1584,1403,503,147,53,20,3713,
"Leumeah - Minto Heights",1290,1046,411,157,44,22,2969,
"Macquarie Fields - Glenfield",1868,1761,563,209,63,21,4493,
"Minto - St Andrews",1589,1468,599,207,55,28,3947,
"Rosemeadow - Glen Alpine",1553,1393,637,238,79,33,3933,
"Bargo",357,351,164,62,16,3,963,
"Douglas Park - Appin",576,720,326,68,18,7,1706,
"Picton - Tahmoor - Buxton",1140,1093,520,159,29,13,2958,
"The Oaks - Oakdale",542,567,323,103,26,7,1569,
"Blackheath - Megalong Valley",376,257,84,20,8,0,742,
"Blaxland - Warrimoo - Lapstone",1275,1371,555,134,21,15,3369,
"Blue Mountains - North",0,0,0,0,0,0,4,
"Katoomba - Leura",884,569,187,61,5,11,1722,
"Lawson - Hazelbrook - Linden",791,734,282,92,15,8,1922,
"Springwood - Winmalee",1469,1456,603,148,28,16,3717,
"Wentworth Falls",381,304,120,33,5,5,847,
"Blue Mountains - South",0,0,0,0,0,0,0,
"Cambridge Park",1193,1057,418,146,21,14,2855,
"Castlereagh - Cranebrook",1744,1706,730,239,51,22,4482,
"Emu Plains - Leonay",924,1071,370,113,18,9,2509,
"Glenmore Park - Regentville",1526,1806,713,199,43,17,4301,
"Jamisontown - South Penrith",1305,1107,471,96,36,19,3033,
"Kingswood - Werrington",1551,1239,460,150,32,23,3460,
"Mulgoa - Luddenham - Orchard Hills",584,683,302,92,26,14,1705,
"Penrith",1008,674,236,72,10,6,2005,
"Warragamba - Silverdale",327,390,190,43,13,3,962,
"Richmond - Clarendon",958,774,308,102,25,5,2169,
"Windsor - Bligh Park",1198,1058,429,107,25,14,2840,
"Yarramundi - Londonderry",390,398,223,79,23,6,1114,
"Erskine Park",477,563,222,46,13,9,1328,
"St Clair",1568,1528,570,178,46,22,3908,
"Colyton - Oxley Park",903,682,320,101,36,29,2065,
"St Marys - North St Marys",1235,876,369,146,55,28,2715,
"Homebush Bay - Silverwater",1309,923,186,49,10,0,2479,
"Rookwood Cemetery",0,0,0,0,0,0,0,
"Auburn - Central",1025,828,444,191,103,52,2640,
"Auburn - North",749,502,205,65,13,13,1558,
"Auburn - South",513,484,271,120,65,30,1480,
"Berala",716,563,228,69,26,8,1609,
"Lidcombe",1461,1243,394,101,27,16,3251,
"Regents Park",400,334,126,59,9,12,939,
"Carlingford",2234,2394,602,132,20,4,5385,
"Ermington - Rydalmere",1640,1620,539,131,22,7,3960,
"Oatlands - Dundas Valley",1353,1304,444,95,24,6,3228,
"Chester Hill - Sefton",1172,1162,582,273,95,34,3313,
"Fairfield - East",946,880,447,213,100,43,2634,
"Granville - Clyde",1383,1094,515,287,78,51,3417,
"Greystanes - Pemulwuy",1864,2078,758,214,47,26,4980,
"Guildford - South Granville",1236,980,724,439,127,78,3589,
"Guildford West - Merrylands West",1410,1181,648,281,81,44,3645,
"Merrylands - Holroyd",2167,1681,815,314,103,45,5130,
"Smithfield Industrial",0,0,0,0,0,0,0,
"Yennora Industrial",0,0,0,0,0,0,0,
"North Parramatta",1845,1165,273,59,13,5,3365,
"North Rocks",591,705,185,36,4,0,1529,
"Northmead",1776,1344,242,66,11,4,3442,
"Parramatta - Rosehill",2787,1305,215,49,12,6,4365,
"Toongabbie - Constitution Hill",1682,1588,483,129,45,17,3943,
"Winston Hills",722,945,318,62,9,7,2064,
"Pendle Hill - Girraween",1061,1055,229,57,15,10,2426,
"Wentworthville - Westmead",1360,1211,240,67,28,4,2907,
"Epping - North Epping",2125,2200,559,99,9,0,4993,
"Pennant Hills - Cheltenham",1297,1813,544,133,18,3,3806,
"Eastwood - Denistone",1980,1836,501,88,9,0,4414,
"Gladesville - Huntleys Point",924,1006,355,54,5,0,2347,
"Hunters Hill - Woolwich",554,669,320,63,5,3,1618,
"Macquarie Park - Marsfield",1534,980,180,27,4,0,2727,
"North Ryde - East Ryde",900,1053,305,40,0,0,2303,
"West Ryde - Meadowbank",1561,1138,274,49,13,4,3036,
"Putney",285,354,139,24,4,3,810,
"Ryde",2037,1843,527,88,11,4,4510,
"Ashcroft - Busby - Miller",1127,942,571,306,118,57,3119,
"Austral - Greendale",468,505,304,127,29,13,1452,
"Cobbitty - Leppington",1166,1233,534,177,29,9,3159,
"Badgerys Creek",8,4,0,0,0,0,12,
"Cecil Hills",387,596,328,83,12,5,1414,
"Green Valley",875,952,495,172,36,14,2557,
"Hinchinbrook",811,1068,474,157,29,16,2564,
"Hoxton Park - Carnes Hill - Horningsea Park",754,1069,427,131,34,13,2431,
"West Hoxton - Middleton Grange",929,1363,618,188,43,19,3154,
"Bonnyrigg Heights - Bonnyrigg",1173,1343,564,163,52,21,3318,
"Bossley Park - Abbotsbury",1373,1430,700,217,48,19,3789,
"Cabramatta - Lansvale",1962,1698,598,177,45,24,4509,
"Cabramatta West - Mount Pritchard",1310,1213,521,209,57,34,3341,
"Canley Vale - Canley Heights",1614,1556,627,180,53,21,4052,
"Edensor Park",739,779,350,117,26,7,2015,
"Fairfield",1418,1168,498,192,51,30,3352,
"Fairfield - West",1293,1337,730,267,55,20,3704,
"Greenfield Park - Prairiewood",572,625,312,107,24,13,1652,
"Horsley Park - Kemps Creek",254,266,165,57,6,4,753,
"Smithfield - Wetherill Park",1277,1163,629,207,56,34,3371,
"St Johns Park - Wakeley",792,885,309,114,18,7,2139,
